@relation cpu-weka.filters.unsupervised.instance.RemoveFolds-S0-N5-F1

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
125,256,6000,256,16,128,199
29,8000,32000,32,8,32,253
29,8000,32000,32,8,32,253
29,8000,32000,32,8,32,253
29,8000,16000,32,8,16,132
26,8000,32000,64,8,32,290
23,16000,32000,64,16,32,381
23,16000,32000,64,16,32,381
23,16000,64000,64,16,32,749
23,32000,64000,128,32,64,1238
400,1000,3000,0,1,2,23
400,512,3500,4,1,6,24
60,2000,8000,65,1,8,70
50,4000,16000,65,1,8,117
350,64,64,0,1,4,15
200,512,16000,0,4,32,64
167,524,2000,8,4,15,23
143,512,5000,0,7,32,29
143,1000,2000,0,5,16,22
110,5000,5000,142,8,64,124
143,1500,6300,0,5,32,35
143,3100,6200,0,5,20,39
143,2300,6200,0,6,64,40
110,3100,6200,0,6,64,45
320,128,6000,0,1,12,28
320,512,2000,4,1,3,21
320,256,6000,0,1,6,28
320,256,3000,4,1,3,22
320,512,5000,4,1,5,28
320,256,5000,4,1,6,27
25,1310,2620,131,12,24,102
25,1310,2620,131,12,24,102
50,2620,10480,30,12,24,74
50,2620,10480,30,12,24,74
56,5240,20970,30,12,24,138
64,5240,20970,30,12,24,136
50,500,2000,8,1,4,23
50,1000,4000,8,1,5,29
50,2000,8000,8,1,5,44
50,1000,4000,8,3,5,30
50,1000,8000,8,3,5,41
50,2000,16000,8,3,5,74
